Software Quality and Testing(Professional Elective IV , MC4026,MCA,3
Advanced Data Structures and Algorithms, MC4101,MCA,1
Object Oriented Software Engineering, MC4102,MCA,1
Python Programming, MC4103,MCA,1
Fundamentals of Accounting, MC4104,MCA,1
Advanced Data Structures and Algorithms Laboratory, MC4111,MCA,1
Python Programming Laboratory, MC4112,MCA,1
Communication Skills Enhancement â€“ I, MC4113,MCA,1
Full Stack Web Development, MC4201,MCA,2
Advanced Database Technology, MC4202,MCA,2
Cloud Computing Technologies, MC4203,MCA,2
Mobile Application Development, MC4204,MCA,2
Cyber Security, MC4205,MCA,2
Advanced Database Technology Laboratory, MC4211,MCA,2
Full Stack Web Development Laboratory, MC4212,MCA,2
Communication Skills Enhancementâ€“ II, MC4213,MCA,2
Machine Learning, MC4301,MCA,3
Internet of Things, MC4302,MCA,3
Machine Learning Laboratory, MC4311,MCA,3
Internet of Things Laboratory, MC4312,MCA,3
Project Work, MC4411,MCA,4
ENGINEERING MECHANICS, ME3351,CIVIL,3
Engineering Mechanics, ME3351,MECH,3
Computer Aided Machine Drawing, ME3381,MECH,3
Manufacturing Technology Laboratory, ME3382,MECH,3
Engineering Thermodynamics, ME3391,MECH,3
Engineering Materials and Metallurgy, ME3392,MECH,3
Manufacturing Processes, ME3393,MECH,3
Thermal Engineering, ME3451,MECH,4
Thermal Engineering Laboratory, ME3461,MECH,4
Theory of Machines, ME3491,MECH,4
Hydraulics and Pneumatics, ME3492,MECH,4
Manufacturing Technology, ME3493,MECH,4
Metrology and Dynamics Laboratory, ME3581,MECH,5
Design of Machine Elements, ME3591,MECH,5
Metrology and Measurements, ME3592,MECH,5
CAD/CAM Laboratory, ME3681,MECH,6
Heat Transfer Laboratory, ME3682,MECH,6
Heat and Mass Transfer, ME3691,MECH,6
MECHATRONICS AND IOT LABORATORY, ME3781,MECH,7
MECHATRONICS AND IOT, ME3791,MECH,7
COMPUTER INTEGRATED MANUFACTURING, ME3792,MECH,7
Project Work / Internship, ME3811,MECH,8
Disaster Risk Reduction and Management (MC-I, MX3084,MECH,5
Disaster Risk Reduction And Management, MX3084,CIVIL,6
INDUSTRIAL SAFETY, MX3089,EEE,6
EXPERIENCE BASED PROJECT LEARNING, NM1022,CSE,4
ENERGY TECHNOLOGY, OCH353,EEE,7
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING, OCS351,EEE,6
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING LAB, OCS351,EEE,7
DATA SCIENCE FUNDAMENTALS, OCS353,EEE,6
Drinking Water Supply and Treatment, OEN351,CIVIL,7
HOLISTIC NUTRITION, OFD351,ECE,7
PRODUCTION PLANNING AND CONTROL (OPEN ELECTIVES â€“ IV, OIM353,MECH,7
INTRODUCTION TO NON-DESTRUCTIVE TESTING (OPEN ELECTIVES â€“ III, OML351,MECH,7
MECHATRONICS, OMR351,ECE,7
MECHATRONICS, OMR351,EEE,7
Industrial safety, OPE353,CIVIL,7
ENGINEERING PHYSICS, PH3151,CIVIL,1
Engineering Physics, PH3151,CSE,1
ENGINEERING PHYSICS, PH3151,ECE,1
Engineering Physics, PH3151,IT,1
Physics for Civil Engineering, PH3201,CIVIL,2
Physics for Electrical Engineering, PH3202,EEE,2
Materials Science, PH3251,MECH,2
PHYSICS FOR ELECTRONICS ENGINEERING, PH3254,ECE,2
Physics for Information Science, PH3256,AIDS,2
Physics for Information Science, PH3256,CSE,2
Physics for Information Science, PH3256,IT,2
Research Methodology and IPR, RM4151,MCA,1
TestingSubject,TEST123,CSE ,1
TestingSubject,TEST123,MECH,1
